index Betriebname Milchmenge Fett.B Laktationstag BetriebDatum
335 Stove -0.779412998699151 1.36196181141976 90 Stove2009-06-17
336 Vipperow -0.0400300831986945 -0.0762470150996263 47 Vipperow2009-05-04
337 Vipperow 1.17858249975576 0.283305191530221 23 Vipperow2009-05-04
338 Stove 0.315969098338563 -0.67550069281604 57 Stove2009-06-17
339 Stove 0.685660556088791 -0.110490082397707 53 Stove2009-06-17
340 Dummerstorf 0.466584136681248 -1.06929596674397 22 Dummerstor2009-06-02
341 Stove -0.601413407930523 -0.778229894710282 106 Stove2009-06-17
342 Stove -0.615105684143494 0.249062124232141 82 Stove2009-06-17
343 Niendorf 0.918429251709305 -0.196097750642909 88 Niendorf2009-05-03
344 Vipperow 0.589814622597991 -0.846716029306444 26 Vipperow2009-05-04
345 Dummerstorf 0.76781421336662 -0.949445231200685 37 Dummerstor2009-06-02
346 Dummerstorf -0.587721131717552 -0.0762470150996263 115 Dummerstor2009-06-02
347 Stove -0.341260159884066 -0.127611616046747 82 Stove2009-06-17
348 Dummerstorf 1.61673533857085 -0.487163822676596 55 Dummerstor2009-06-02
349 Dummerstorf 1.21965932839468 -0.333070019835232 109 Dummerstor2009-06-02
350 Stove -0.135876016689494 1.56742021520825 107 Stove2009-06-17
351 Vipperow 0.849967870644448 -0.0933685487486663 28 Vipperow2009-05-04
352 Niendorf 0.38443047940342 -1.56582044256614 89 Niendorf2009-05-03
353 Stove -0.176952845328409 0.694221999107191 48 Stove2009-06-17
354 Stove 1.05535201383902 -0.333070019835232 29 Stove2009-06-17
355 Stove 0.76781421336662 -0.298826952537151 69 Stove2009-06-17
356 Dummerstorf 1.08273656626496 0.368912859775423 37 Dummerstor2009-06-02
357 Stove 0.699352832301762 -0.521406889974676 102 Stove2009-06-17
358 Niendorf -0.95741258946778 0.043603720443656 77 Niendorf2009-05-03
359 Niendorf 0.699352832301762 0.574371263563908 86 Niendorf2009-05-03
360 Stove 0.206430888634791 -1.56582044256614 84 Stove2009-06-17
